idindikator;IDTer;nTer;IDVrstaDivljaci;nVrstaDivljaci;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;01;Јелен европски;00;2011;2;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;02;Јелен лопатар;00;2011;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;03;Срна;00;2011;428;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;04;Муфлон;00;2011;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;05;Дивокоза;00;2011;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;06;Дивља свиња;00;2011;68;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;07;Зец;00;2011;1345;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;08;Вук;00;2011;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;09;Шакал;00;2011;36;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;10;Лисица;00;2011;132;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;11;Дивља мачка;00;2011;4;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;12;Куна белица;00;2011;35;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;13;Куна златица;00;2011;18;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;14;Јазавац;00;2011;17;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;15;Сиви пух;00;2011;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;16;Веверица;00;2011;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;17;Ондатра;00;2011;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;18;Нутрија;00;2011;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;19;Ракунолики пас;00;2011;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;20;Мрки твор;00;2011;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;21;Фазан;00;2011;1603;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;22;Пољска јаребица;00;2011;266;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;23;Дивља гуска – лисаста;00;2011;2;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;24;Дивља гуска – глоговњ.;00;2011;2;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;25;Лиска црна;00;2011;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;26;Барска кокица;00;2011;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;27;Дивља патка – глувара;00;2011;503;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;28;Дивља пловка – риђоглава;00;2011;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
